[PROBE] Math0/1 norm total: 44461 cycles
[PROBE] MathA NormReady stall: 54209 cycles
[PROBE] Math0/1 norm total: 45614 cycles
[PROBE] MathA NormReady stall: 55419 cycles
[PROBE] Math0/1 norm total: 43800 cycles
[PROBE] MathA NormReady stall: 53697 cycles
[PROBE] Math0/1 norm total: 46157 cycles
[PROBE] MathA NormReady stall: 56259 cycles
[PROBE] Math0/1 norm total: 42714 cycles
[PROBE] MathA NormReady stall: 52216 cycles
[PROBE] Math0/1 norm total: 40410 cycles
[PROBE] MathA NormReady stall: 50585 cycles
[PROBE] Math0/1 norm total: 44022 cycles
[PROBE] MathA NormReady stall: 54521 cycles
[PROBE] Math0/1 norm total: 42559 cycles
[PROBE] MathA NormReady stall: 52767 cycles
[PROBE] Math0/1 norm total: 43305 cycles
[PROBE] MathA NormReady stall: 53281 cycles
[PROBE] Math0/1 norm total: 40775 cycles
[PROBE] MathA NormReady stall: 51715 cycles
[PROBE] Math0/1 norm total: 36159 cycles
[PROBE] MathA NormReady stall: 46385 cycles
[PROBE] Math0/1 norm total: 32002 cycles
[PROBE] MathA NormReady stall: 42359 cycles
[PROBE] Math0/1 norm total: 44657 cycles
[PROBE] MathA NormReady stall: 54208 cycles
[PROBE] Math0/1 norm total: 45756 cycles
[PROBE] MathA NormReady stall: 55668 cycles
[PROBE] Math0/1 norm total: 45998 cycles
[PROBE] MathA NormReady stall: 55760 cycles
[PROBE] Math0/1 norm total: 41354 cycles
[PROBE] MathA NormReady stall: 52486 cycles
[PROBE] Math0/1 norm total: 46475 cycles
[PROBE] MathA NormReady stall: 56857 cycles
[PROBE] Math0/1 norm total: 41689 cycles
[PROBE] MathA NormReady stall: 52228 cycles
[PROBE] Math0/1 norm total: 39731 cycles
[PROBE] MathA NormReady stall: 49477 cycles
[PROBE] Math0/1 norm total: 45691 cycles
[PROBE] MathA NormReady stall: 56199 cycles
[PROBE] Math0/1 norm total: 44858 cycles
[PROBE] MathA NormReady stall: 54972 cycles
[PROBE] MathA NormReady stall: 54016 cycles
[PROBE] Math0/1 norm total: 43984 cycles
[PROBE] MathA NormReady stall: 54284 cycles
[PROBE] Math0/1 norm total: 44906 cycles
[PROBE] MathA NormReady stall: 55426 cycles
[PROBE] Math0/1 norm total: 45253 cycles
[PROBE] Math0/1 norm total: 44387 cycles
[PROBE] MathA NormReady stall: 54131 cycles
[PROBE] Math0/1 norm total: 39556 cycles
[PROBE] MathA NormReady stall: 49626 cycles
[PROBE] Math0/1 norm total: 45609 cycles
[PROBE] MathA NormReady stall: 55139 cycles
[PROBE] Math0/1 norm total: 43084 cycles
[PROBE] MathA NormReady stall: 53025 cycles
[PROBE] Math0/1 norm total: 39451 cycles
[PROBE] MathA NormReady stall: 48904 cycles
[PROBE] Math0/1 norm total: 43557 cycles
[PROBE] MathA NormReady stall: 53575 cycles
[PROBE] Math0/1 norm total: 40176 cycles
[PROBE] MathA NormReady stall: 49673 cycles
[PROBE] Math0/1 norm total: 45919 cycles
[PROBE] MathA NormReady stall: 55803 cycles
[PROBE] Math0/1 norm total: 45663 cycles
[PROBE] MathA NormReady stall: 55260 cycles
[PROBE] Math0/1 norm total: 43500 cycles
[PROBE] MathA NormReady stall: 53207 cycles
[PROBE] Math0/1 norm total: 41141 cycles
[PROBE] MathA NormReady stall: 50580 cycles
[PROBE] Math0/1 norm total: 42884 cycles
[PROBE] MathA NormReady stall: 52896 cycles
[PROBE] Math0/1 norm total: 43190 cycles
[PROBE] MathA NormReady stall: 52889 cycles
[PROBE] Math0/1 norm total: 44265 cycles
[PROBE] MathA NormReady stall: 54093 cycles
[PROBE] Math0/1 norm total: 45339 cycles
[PROBE] MathA NormReady stall: 54717 cycles
[PROBE] Math0/1 norm total: 42527 cycles
[PROBE] MathA NormReady stall: 52344 cycles
[PROBE] Math0/1 norm total: 44645 cycles
[PROBE] MathA NormReady stall: 54357 cycles
[PROBE] Math0/1 norm total: 45522 cycles
[PROBE] MathA NormReady stall: 55277 cycles
[PROBE] Math0/1 norm total: 42562 cycles
[PROBE] MathA NormReady stall: 52255 cycles
[PROBE] Math0/1 norm total: 43798 cycles
[PROBE] MathA NormReady stall: 53530 cycles
[PROBE] Math0/1 norm total: 39344 cycles
[PROBE] MathA NormReady stall: 49115 cycles
[PROBE] Math0/1 norm total: 43105 cycles
[PROBE] MathA NormReady stall: 52883 cycles
[PROBE] Math0/1 norm total: 44458 cycles
[PROBE] MathA NormReady stall: 53789 cycles
[PROBE] Math0/1 norm total: 41535 cycles
[PROBE] MathA NormReady stall: 51423 cycles
[PROBE] Math0/1 norm total: 43260 cycles
[PROBE] MathA NormReady stall: 52633 cycles
[PROBE] Math0/1 norm total: 40716 cycles
[PROBE] MathA NormReady stall: 50530 cycles
[PROBE] Math0/1 norm total: 43996 cycles
[PROBE] MathA NormReady stall: 53270 cycles
[PROBE] Math0/1 norm total: 44341 cycles
[PROBE] MathA NormReady stall: 54399 cycles
[PROBE] Math0/1 norm total: 44839 cycles
[PROBE] MathA NormReady stall: 54524 cycles
[PROBE] Math0/1 norm total: 42502 cycles
[PROBE] MathA NormReady stall: 52011 cycles
[PROBE] Math0/1 norm total: 45430 cycles
[PROBE] MathA NormReady stall: 55048 cycles
[PROBE] Math0/1 norm total: 40769 cycles
[PROBE] MathA NormReady stall: 50934 cycles
[PROBE] Math0/1 norm total: 46176 cycles
[PROBE] MathA NormReady stall: 55734 cycles
[PROBE] MathA NormReady stall: 53608 cycles
[PROBE] Math0/1 norm total: 43807 cycles
[KDA DEBUG] SharedStorageSize = 232448 bytes (227.0 KB)
[KDA DEBUG] MaxThreadsPerBlock = 512
[PROBE] MathA NormReady stall: 45481 cycles
[PROBE] Math0/1 norm total: 45561 cycles
[PROBE] MathA NormReady stall: 53936 cycles
[PROBE] Math0/1 norm total: 45248 cycles
[PROBE] Math0/1 norm total: 44496 cycles
[PROBE] MathA NormReady stall: 53580 cycles
[PROBE] Math0/1 norm total: 42864 cycles
[PROBE] MathA NormReady stall: 53152 cycles
[PROBE] Math0/1 norm total: 45282 cycles
[PROBE] MathA NormReady stall: 54497 cycles
[PROBE] Math0/1 norm total: 45858 cycles
[PROBE] MathA NormReady stall: 56758 cycles
[PROBE] MathA NormReady stall: 49226 cycles
[PROBE] Math0/1 norm total: 39203 cycles
[PROBE] Math0/1 norm total: 45958 cycles
[PROBE] MathA NormReady stall: 56205 cycles
[PROBE] Math0/1 norm total: 42733 cycles
[PROBE] MathA NormReady stall: 52190 cycles
[PROBE] Math0/1 norm total: 43212 cycles
[PROBE] MathA NormReady stall: 52466 cycles
[PROBE] Math0/1 norm total: 45354 cycles
[PROBE] MathA NormReady stall: 55204 cycles
[PROBE] Math0/1 norm total: 43728 cycles
[PROBE] MathA NormReady stall: 53884 cycles
[PROBE] Math0/1 norm total: 44846 cycles
[PROBE] MathA NormReady stall: 54736 cycles
[PROBE] Math0/1 norm total: 40930 cycles
[PROBE] MathA NormReady stall: 50869 cycles
[PROBE] Math0/1 norm total: 46391 cycles
[PROBE] MathA NormReady stall: 56069 cycles
[PROBE] Math0/1 norm total: 43902 cycles
[PROBE] MathA NormReady stall: 54277 cycles
[PROBE] Math0/1 norm total: 46284 cycles
[PROBE] MathA NormReady stall: 55697 cycles
[PROBE] Math0/1 norm total: 44074 cycles
[PROBE] MathA NormReady stall: 54453 cycles
[PROBE] Math0/1 norm total: 44924 cycles
[PROBE] MathA NormReady stall: 54780 cycles
[PROBE] MathA NormReady stall: 54606 cycles
[PROBE] Math0/1 norm total: 45080 cycles
[PROBE] Math0/1 norm total: 43632 cycles
[PROBE] MathA NormReady stall: 52993 cycles
[PROBE] Math0/1 norm total: 46202 cycles
[PROBE] MathA NormReady stall: 57147 cycles
[PROBE] Math0/1 norm total: 44027 cycles
[PROBE] MathA NormReady stall: 53460 cycles
[PROBE] Math0/1 norm total: 44466 cycles
[PROBE] MathA NormReady stall: 54953 cycles
[PROBE] Math0/1 norm total: 46555 cycles
[PROBE] MathA NormReady stall: 56922 cycles
[PROBE] MathA NormReady stall: 55968 cycles
[PROBE] Math0/1 norm total: 45112 cycles
[PROBE] Math0/1 norm total: 45402 cycles
[PROBE] MathA NormReady stall: 54629 cycles
[PROBE] Math0/1 norm total: 43040 cycles
[PROBE] MathA NormReady stall: 52538 cycles
[PROBE] Math0/1 norm total: 41916 cycles
[PROBE] MathA NormReady stall: 51452 cycles
[PROBE] MathA NormReady stall: 53378 cycles
[PROBE] Math0/1 norm total: 43103 cycles
[PROBE] Math0/1 norm total: 42564 cycles
[PROBE] MathA NormReady stall: 52094 cycles
[PROBE] MathA NormReady stall: 53267 cycles
[PROBE] Math0/1 norm total: 43110 cycles
[PROBE] Math0/1 norm total: 40565 cycles
[PROBE] MathA NormReady stall: 50184 cycles
[PROBE] Math0/1 norm total: 44236 cycles
[PROBE] MathA NormReady stall: 54153 cycles
[PROBE] Math0/1 norm total: 44067 cycles
[PROBE] MathA NormReady stall: 53563 cycles
[PROBE] Math0/1 norm total: 43968 cycles
[PROBE] MathA NormReady stall: 53774 cycles
[PROBE] Math0/1 norm total: 46019 cycles
[PROBE] MathA NormReady stall: 55720 cycles
[PROBE] Math0/1 norm total: 43525 cycles
[PROBE] MathA NormReady stall: 53375 cycles
[PROBE] Math0/1 norm total: 35138 cycles
[PROBE] MathA NormReady stall: 44782 cycles
[PROBE] MathA NormReady stall: 45291 cycles
[PROBE] Math0/1 norm total: 35762 cycles
[PROBE] Math0/1 norm total: 41888 cycles
[PROBE] MathA NormReady stall: 51124 cycles
[PROBE] Math0/1 norm total: 46087 cycles
[PROBE] MathA NormReady stall: 55687 cycles
[PROBE] Math0/1 norm total: 42589 cycles
[PROBE] MathA NormReady stall: 52166 cycles
[PROBE] Math0/1 norm total: 44170 cycles
[PROBE] MathA NormReady stall: 53518 cycles
[PROBE] Math0/1 norm total: 45960 cycles
[PROBE] MathA NormReady stall: 54977 cycles
[PROBE] Math0/1 norm total: 46031 cycles
[PROBE] MathA NormReady stall: 56048 cycles
[PROBE] Math0/1 norm total: 41528 cycles
[PROBE] MathA NormReady stall: 50967 cycles
[PROBE] MathA NormReady stall: 56322 cycles
[PROBE] Math0/1 norm total: 46237 cycles
[PROBE] Math0/1 norm total: 45770 cycles
[PROBE] MathA NormReady stall: 55358 cycles
[PROBE] Math0/1 norm total: 41982 cycles
[PROBE] MathA NormReady stall: 51749 cycles
[PROBE] Math0/1 norm total: 43523 cycles
[PROBE] MathA NormReady stall: 52849 cycles
[PROBE] Math0/1 norm total: 45720 cycles
[PROBE] MathA NormReady stall: 55482 cycles
[PROBE] Math0/1 norm total: 43813 cycles
[PROBE] MathA NormReady stall: 53006 cycles
[PROBE] Math0/1 norm total: 42865 cycles
[PROBE] MathA NormReady stall: 52681 cycles
[PROBE] Math0/1 norm total: 43172 cycles
[PROBE] MathA NormReady stall: 52808 cycles
[PROBE] MathA NormReady stall: 52299 cycles
[PROBE] Math0/1 norm total: 42766 cycles
[PROBE] Math0/1 norm total: 41976 cycles
[PROBE] MathA NormReady stall: 51205 cycles
[PROBE] MathA NormReady stall: 54404 cycles
[PROBE] Math0/1 norm total: 44956 cycles
[PROBE] MathA NormReady stall: 53787 cycles
[PROBE] Math0/1 norm total: 44782 cycles
[PROBE] MathA NormReady stall: 54361 cycles
[PROBE] Math0/1 norm total: 44916 cycles
[PROBE] Math0/1 norm total: 44663 cycles
[PROBE] MathA NormReady stall: 53764 cycles
[PROBE] Math0/1 norm total: 44954 cycles
[PROBE] MathA NormReady stall: 54818 cycles
